group	size	tooltip	showSelectedlegendsize
1	3	ozone=41 fold=2 set=train	train
2	2	ozone=36 fold=3 set=validation	validation
3	3	ozone=12 fold=1 set=train	train
4	3	ozone=18 fold=1 set=train	train
5	2	ozone=23 fold=3 set=validation	validation
6	3	ozone=19 fold=1 set=train	train
7	3	ozone=8 fold=2 set=train	train
8	3	ozone=16 fold=1 set=train	train
9	3	ozone=11 fold=2 set=train	train
10	2	ozone=14 fold=3 set=validation	validation
11	3	ozone=18 fold=1 set=train	train
12	3	ozone=14 fold=1 set=train	train
13	2	ozone=34 fold=3 set=validation	validation
14	2	ozone=6 fold=3 set=validation	validation
15	3	ozone=30 fold=2 set=train	train
16	3	ozone=11 fold=1 set=train	train
17	3	ozone=1 fold=1 set=train	train
18	3	ozone=11 fold=1 set=train	train
19	3	ozone=4 fold=1 set=train	train
20	3	ozone=32 fold=1 set=train	train
21	3	ozone=23 fold=2 set=train	train
22	3	ozone=45 fold=2 set=train	train
23	2	ozone=115 fold=3 set=validation	validation
24	3	ozone=37 fold=2 set=train	train
25	3	ozone=29 fold=1 set=train	train
26	2	ozone=71 fold=3 set=validation	validation
27	2	ozone=39 fold=3 set=validation	validation
28	3	ozone=23 fold=2 set=train	train
29	3	ozone=21 fold=1 set=train	train
30	3	ozone=37 fold=2 set=train	train
31	2	ozone=20 fold=3 set=validation	validation
32	3	ozone=12 fold=2 set=train	train
33	3	ozone=13 fold=2 set=train	train
34	3	ozone=135 fold=1 set=train	train
35	3	ozone=49 fold=2 set=train	train
36	3	ozone=32 fold=1 set=train	train
37	3	ozone=64 fold=2 set=train	train
38	3	ozone=40 fold=1 set=train	train
39	3	ozone=77 fold=1 set=train	train
40	3	ozone=97 fold=1 set=train	train
41	2	ozone=97 fold=3 set=validation	validation
42	3	ozone=85 fold=2 set=train	train
43	2	ozone=10 fold=3 set=validation	validation
44	2	ozone=27 fold=3 set=validation	validation
45	2	ozone=7 fold=3 set=validation	validation
46	2	ozone=48 fold=3 set=validation	validation
47	3	ozone=35 fold=2 set=train	train
48	2	ozone=61 fold=3 set=validation	validation
49	3	ozone=79 fold=2 set=train	train
50	2	ozone=63 fold=3 set=validation	validation
51	2	ozone=16 fold=3 set=validation	validation
52	3	ozone=80 fold=1 set=train	train
53	3	ozone=108 fold=1 set=train	train
54	3	ozone=20 fold=2 set=train	train
55	3	ozone=52 fold=1 set=train	train
56	2	ozone=82 fold=3 set=validation	validation
57	3	ozone=50 fold=2 set=train	train
58	3	ozone=64 fold=2 set=train	train
59	3	ozone=59 fold=1 set=train	train
60	3	ozone=39 fold=2 set=train	train
61	3	ozone=9 fold=2 set=train	train
62	3	ozone=16 fold=2 set=train	train
63	3	ozone=122 fold=2 set=train	train
64	3	ozone=89 fold=2 set=train	train
65	3	ozone=110 fold=2 set=train	train
66	3	ozone=44 fold=2 set=train	train
67	2	ozone=28 fold=3 set=validation	validation
68	3	ozone=65 fold=1 set=train	train
69	3	ozone=22 fold=1 set=train	train
70	2	ozone=59 fold=3 set=validation	validation
71	2	ozone=23 fold=3 set=validation	validation
72	3	ozone=31 fold=1 set=train	train
73	3	ozone=44 fold=2 set=train	train
74	3	ozone=21 fold=2 set=train	train
75	3	ozone=9 fold=1 set=train	train
76	2	ozone=45 fold=3 set=validation	validation
77	3	ozone=168 fold=1 set=train	train
78	2	ozone=73 fold=3 set=validation	validation
79	3	ozone=76 fold=2 set=train	train
80	2	ozone=118 fold=3 set=validation	validation
81	2	ozone=84 fold=3 set=validation	validation
82	3	ozone=85 fold=2 set=train	train
83	3	ozone=95.9999999999999 fold=1 set=train	train
84	2	ozone=78 fold=3 set=validation	validation
85	2	ozone=73 fold=3 set=validation	validation
86	3	ozone=91 fold=1 set=train	train
87	3	ozone=47 fold=1 set=train	train
88	3	ozone=32 fold=2 set=train	train
89	3	ozone=20 fold=1 set=train	train
90	3	ozone=23 fold=1 set=train	train
91	3	ozone=21 fold=2 set=train	train
92	3	ozone=24 fold=1 set=train	train
93	2	ozone=44 fold=3 set=validation	validation
94	2	ozone=21 fold=3 set=validation	validation
95	2	ozone=28 fold=3 set=validation	validation
96	2	ozone=9 fold=3 set=validation	validation
97	3	ozone=13 fold=1 set=train	train
98	2	ozone=46 fold=3 set=validation	validation
99	2	ozone=18 fold=3 set=validation	validation
100	3	ozone=13 fold=2 set=train	train
101	3	ozone=24 fold=2 set=train	train
102	2	ozone=16 fold=3 set=validation	validation
103	3	ozone=13 fold=2 set=train	train
104	3	ozone=23 fold=1 set=train	train
105	3	ozone=36 fold=2 set=train	train
106	3	ozone=7 fold=1 set=train	train
107	3	ozone=14 fold=1 set=train	train
108	3	ozone=30 fold=2 set=train	train
109	2	ozone=14 fold=3 set=validation	validation
110	2	ozone=18 fold=3 set=validation	validation
111	2	ozone=20 fold=3 set=validation	validation
