group	size	tooltip	showSelectedlegendsize
1	3	ozone=41 fold=2 set=train	train
2	3	ozone=36 fold=3 set=train	train
3	2	ozone=12 fold=1 set=validation	validation
4	2	ozone=18 fold=1 set=validation	validation
5	3	ozone=23 fold=3 set=train	train
6	2	ozone=19 fold=1 set=validation	validation
7	3	ozone=8 fold=2 set=train	train
8	2	ozone=16 fold=1 set=validation	validation
9	3	ozone=11 fold=2 set=train	train
10	3	ozone=14 fold=3 set=train	train
11	2	ozone=18 fold=1 set=validation	validation
12	2	ozone=14 fold=1 set=validation	validation
13	3	ozone=34 fold=3 set=train	train
14	3	ozone=6 fold=3 set=train	train
15	3	ozone=30 fold=2 set=train	train
16	2	ozone=11 fold=1 set=validation	validation
17	2	ozone=1 fold=1 set=validation	validation
18	2	ozone=11 fold=1 set=validation	validation
19	2	ozone=4 fold=1 set=validation	validation
20	2	ozone=32 fold=1 set=validation	validation
21	3	ozone=23 fold=2 set=train	train
22	3	ozone=45 fold=2 set=train	train
23	3	ozone=115 fold=3 set=train	train
24	3	ozone=37 fold=2 set=train	train
25	2	ozone=29 fold=1 set=validation	validation
26	3	ozone=71 fold=3 set=train	train
27	3	ozone=39 fold=3 set=train	train
28	3	ozone=23 fold=2 set=train	train
29	2	ozone=21 fold=1 set=validation	validation
30	3	ozone=37 fold=2 set=train	train
31	3	ozone=20 fold=3 set=train	train
32	3	ozone=12 fold=2 set=train	train
33	3	ozone=13 fold=2 set=train	train
34	2	ozone=135 fold=1 set=validation	validation
35	3	ozone=49 fold=2 set=train	train
36	2	ozone=32 fold=1 set=validation	validation
37	3	ozone=64 fold=2 set=train	train
38	2	ozone=40 fold=1 set=validation	validation
39	2	ozone=77 fold=1 set=validation	validation
40	2	ozone=97 fold=1 set=validation	validation
41	3	ozone=97 fold=3 set=train	train
42	3	ozone=85 fold=2 set=train	train
43	3	ozone=10 fold=3 set=train	train
44	3	ozone=27 fold=3 set=train	train
45	3	ozone=7 fold=3 set=train	train
46	3	ozone=48 fold=3 set=train	train
47	3	ozone=35 fold=2 set=train	train
48	3	ozone=61 fold=3 set=train	train
49	3	ozone=79 fold=2 set=train	train
50	3	ozone=63 fold=3 set=train	train
51	3	ozone=16 fold=3 set=train	train
52	2	ozone=80 fold=1 set=validation	validation
53	2	ozone=108 fold=1 set=validation	validation
54	3	ozone=20 fold=2 set=train	train
55	2	ozone=52 fold=1 set=validation	validation
56	3	ozone=82 fold=3 set=train	train
57	3	ozone=50 fold=2 set=train	train
58	3	ozone=64 fold=2 set=train	train
59	2	ozone=59 fold=1 set=validation	validation
60	3	ozone=39 fold=2 set=train	train
61	3	ozone=9 fold=2 set=train	train
62	3	ozone=16 fold=2 set=train	train
63	3	ozone=122 fold=2 set=train	train
64	3	ozone=89 fold=2 set=train	train
65	3	ozone=110 fold=2 set=train	train
66	3	ozone=44 fold=2 set=train	train
67	3	ozone=28 fold=3 set=train	train
68	2	ozone=65 fold=1 set=validation	validation
69	2	ozone=22 fold=1 set=validation	validation
70	3	ozone=59 fold=3 set=train	train
71	3	ozone=23 fold=3 set=train	train
72	2	ozone=31 fold=1 set=validation	validation
73	3	ozone=44 fold=2 set=train	train
74	3	ozone=21 fold=2 set=train	train
75	2	ozone=9 fold=1 set=validation	validation
76	3	ozone=45 fold=3 set=train	train
77	2	ozone=168 fold=1 set=validation	validation
78	3	ozone=73 fold=3 set=train	train
79	3	ozone=76 fold=2 set=train	train
80	3	ozone=118 fold=3 set=train	train
81	3	ozone=84 fold=3 set=train	train
82	3	ozone=85 fold=2 set=train	train
83	2	ozone=95.9999999999999 fold=1 set=validation	validation
84	3	ozone=78 fold=3 set=train	train
85	3	ozone=73 fold=3 set=train	train
86	2	ozone=91 fold=1 set=validation	validation
87	2	ozone=47 fold=1 set=validation	validation
88	3	ozone=32 fold=2 set=train	train
89	2	ozone=20 fold=1 set=validation	validation
90	2	ozone=23 fold=1 set=validation	validation
91	3	ozone=21 fold=2 set=train	train
92	2	ozone=24 fold=1 set=validation	validation
93	3	ozone=44 fold=3 set=train	train
94	3	ozone=21 fold=3 set=train	train
95	3	ozone=28 fold=3 set=train	train
96	3	ozone=9 fold=3 set=train	train
97	2	ozone=13 fold=1 set=validation	validation
98	3	ozone=46 fold=3 set=train	train
99	3	ozone=18 fold=3 set=train	train
100	3	ozone=13 fold=2 set=train	train
101	3	ozone=24 fold=2 set=train	train
102	3	ozone=16 fold=3 set=train	train
103	3	ozone=13 fold=2 set=train	train
104	2	ozone=23 fold=1 set=validation	validation
105	3	ozone=36 fold=2 set=train	train
106	2	ozone=7 fold=1 set=validation	validation
107	2	ozone=14 fold=1 set=validation	validation
108	3	ozone=30 fold=2 set=train	train
109	3	ozone=14 fold=3 set=train	train
110	3	ozone=18 fold=3 set=train	train
111	3	ozone=20 fold=3 set=train	train
